event_id,year,method,p_seapar,mapped_coarse_smoothing,common_support_segment_id,reference_event_time,reference_magnitude,yearly_scale_q95_minus_q05,event_status,event_unavailable_reason,matching_window_days,magnitude_used_for_matching,matched_candidate_id,reconstructed_event_time,signed_timing_error_days,absolute_timing_error_days,success_5d,success_10d,success_15d,reconstructed_magnitude,signed_magnitude_error,absolute_magnitude_error,normalized_absolute_magnitude_error,magnitude_metric_status,magnitude_metric_reason,scenario_id
ERK_2020_E02,2020,B1_2020_p_seapar_1.0,1,50000,2020_segment_2,2020-08-09,38.953600000000002,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B1_2020_p_seapar_1.0
ERK_2020_E03,2020,B1_2020_p_seapar_1.0,1,50000,2020_segment_2,2020-09-09,42.731900000000003,21.051459000000001,matched,,15,False,REC_2020_P001,2020-08-29T00:00:00,-11,11,False,False,True,13.458242416381836,-29.273657583618167,29.273657583618167,1.3905761868390294,ok,,B1_2020_p_seapar_1.0
ERK_2021_E01,2021,B1_2021_p_seapar_0.0,0,1000,2021_segment_1,2021-04-08,37.868200000000002,22.156310000000001,matched,,15,False,REC_2021_P001,2021-04-04T00:00:00,-4,4,True,True,True,22.145103454589844,-15.723096545410158,15.723096545410158,0.70964418467741952,ok,,B1_2021_p_seapar_0.0
ERK_2021_E02,2021,B1_2021_p_seapar_0.0,0,1000,2021_segment_1,2021-08-09,25.183499999999999,22.156310000000001,matched,,15,False,REC_2021_P002,2021-08-12T00:00:00,3,3,True,True,True,16.305395126342773,-8.8781048736572252,8.8781048736572252,0.40070322511542872,ok,,B1_2021_p_seapar_0.0
ERK_2021_E01,2021,B1_2021_p_seapar_0.1,0.10000000000000001,5900,2021_segment_1,2021-04-08,37.868200000000002,22.156310000000001,matched,,15,False,REC_2021_P001,2021-04-02T00:00:00,-6,6,False,True,True,19.893695831298828,-17.974504168701174,17.974504168701174,0.81125892211749939,ok,,B1_2021_p_seapar_0.1
ERK_2021_E02,2021,B1_2021_p_seapar_0.1,0.10000000000000001,5900,2021_segment_1,2021-08-09,25.183499999999999,22.156310000000001,matched,,15,False,REC_2021_P002,2021-08-12T00:00:00,3,3,True,True,True,16.481967926025391,-8.701532073974608,8.701532073974608,0.39273381145030956,ok,,B1_2021_p_seapar_0.1
ERK_2021_E01,2021,B1_2021_p_seapar_0.2,0.20000000000000001,10800,2021_segment_1,2021-04-08,37.868200000000002,22.156310000000001,matched,,15,False,REC_2021_P001,2021-03-28T00:00:00,-11,11,False,False,True,16.27271842956543,-21.595481570434572,21.595481570434572,0.9746876429529362,ok,,B1_2021_p_seapar_0.2
ERK_2021_E02,2021,B1_2021_p_seapar_0.2,0.20000000000000001,10800,2021_segment_1,2021-08-09,25.183499999999999,22.156310000000001,matched,,15,False,REC_2021_P002,2021-08-13T00:00:00,4,4,True,True,True,16.357870101928711,-8.8256298980712877,8.8256298980712877,0.39833482642512619,ok,,B1_2021_p_seapar_0.2
ERK_2021_E01,2021,B1_2021_p_seapar_0.3,0.29999999999999999,15700,2021_segment_1,2021-04-08,37.868200000000002,22.156310000000001,matched,,15,False,REC_2021_P001,2021-03-25T00:00:00,-14,14,False,False,True,16.131227493286133,-21.736972506713869,21.736972506713869,0.9810736763799508,ok,,B1_2021_p_seapar_0.3
ERK_2021_E02,2021,B1_2021_p_seapar_0.3,0.29999999999999999,15700,2021_segment_1,2021-08-09,25.183499999999999,22.156310000000001,matched,,15,False,REC_2021_P002,2021-08-13T00:00:00,4,4,True,True,True,16.387096405029297,-8.7964035949707018,8.7964035949707018,0.39701573028047998,ok,,B1_2021_p_seapar_0.3
ERK_2021_E01,2021,B1_2021_p_seapar_0.4,0.40000000000000002,20600,2021_segment_1,2021-04-08,37.868200000000002,22.156310000000001,matched,,15,False,REC_2021_P001,2021-03-26T00:00:00,-13,13,False,False,True,16.119287490844727,-21.748912509155275,21.748912509155275,0.98161257488973908,ok,,B1_2021_p_seapar_0.4
ERK_2021_E02,2021,B1_2021_p_seapar_0.4,0.40000000000000002,20600,2021_segment_1,2021-08-09,25.183499999999999,22.156310000000001,matched,,15,False,REC_2021_P002,2021-08-14T00:00:00,5,5,True,True,True,16.329107284545898,-8.8543927154541002,8.8543927154541002,0.39963300366595789,ok,,B1_2021_p_seapar_0.4
ERK_2021_E01,2021,B1_2021_p_seapar_0.5,0.5,25500,2021_segment_1,2021-04-08,37.868200000000002,22.156310000000001,matched,,15,False,REC_2021_P001,2021-03-25T00:00:00,-14,14,False,False,True,16.099971771240234,-21.768228228759767,21.768228228759767,0.98248436805405626,ok,,B1_2021_p_seapar_0.5
ERK_2021_E02,2021,B1_2021_p_seapar_0.5,0.5,25500,2021_segment_1,2021-08-09,25.183499999999999,22.156310000000001,matched,,15,False,REC_2021_P002,2021-08-14T00:00:00,5,5,True,True,True,16.254903793334961,-8.9285962066650377,8.9285962066650377,0.40298209434084636,ok,,B1_2021_p_seapar_0.5
ERK_2021_E01,2021,B1_2021_p_seapar_0.6,0.59999999999999998,30400,2021_segment_1,2021-04-08,37.868200000000002,22.156310000000001,matched,,15,False,REC_2021_P001,2021-03-25T00:00:00,-14,14,False,False,True,16.081523895263672,-21.78667610473633,21.78667610473633,0.98331699207748624,ok,,B1_2021_p_seapar_0.6
ERK_2021_E02,2021,B1_2021_p_seapar_0.6,0.59999999999999998,30400,2021_segment_1,2021-08-09,25.183499999999999,22.156310000000001,matched,,15,False,REC_2021_P002,2021-08-15T00:00:00,6,6,False,True,True,16.1832275390625,-9.0002724609374987,9.0002724609374987,0.4062171210340304,ok,,B1_2021_p_seapar_0.6
ERK_2021_E01,2021,B1_2021_p_seapar_0.7,0.69999999999999996,35300,2021_segment_1,2021-04-08,37.868200000000002,22.156310000000001,matched,,15,False,REC_2021_P001,2021-03-26T00:00:00,-13,13,False,False,True,16.10295295715332,-21.765247042846681,21.765247042846681,0.98234981559865697,ok,,B1_2021_p_seapar_0.7
ERK_2021_E02,2021,B1_2021_p_seapar_0.7,0.69999999999999996,35300,2021_segment_1,2021-08-09,25.183499999999999,22.156310000000001,matched,,15,False,REC_2021_P002,2021-08-15T00:00:00,6,6,False,True,True,16.082342147827148,-9.1011578521728502,9.1011578521728502,0.41077046909764531,ok,,B1_2021_p_seapar_0.7
ERK_2021_E01,2021,B1_2021_p_seapar_0.8,0.80000000000000004,40200,2021_segment_1,2021-04-08,37.868200000000002,22.156310000000001,matched,,15,False,REC_2021_P001,2021-03-25T00:00:00,-14,14,False,False,True,16.092233657836914,-21.775966342163088,21.775966342163088,0.98283361905313138,ok,,B1_2021_p_seapar_0.8
ERK_2021_E02,2021,B1_2021_p_seapar_0.8,0.80000000000000004,40200,2021_segment_1,2021-08-09,25.183499999999999,22.156310000000001,matched,,15,False,REC_2021_P002,2021-08-15T00:00:00,6,6,False,True,True,16.084672927856445,-9.0988270721435534,9.0988270721435534,0.41066527197640551,ok,,B1_2021_p_seapar_0.8
ERK_2021_E01,2021,B1_2021_p_seapar_0.9,0.90000000000000002,45100,2021_segment_1,2021-04-08,37.868200000000002,22.156310000000001,matched,,15,False,REC_2021_P001,2021-03-25T00:00:00,-14,14,False,False,True,16.090003967285156,-21.778196032714845,21.778196032714845,0.98293425361510312,ok,,B1_2021_p_seapar_0.9
ERK_2021_E02,2021,B1_2021_p_seapar_0.9,0.90000000000000002,45100,2021_segment_1,2021-08-09,25.183499999999999,22.156310000000001,matched,,15,False,REC_2021_P002,2021-08-16T00:00:00,7,7,False,True,True,15.977876663208008,-9.2056233367919909,9.2056233367919909,0.41548540062817274,ok,,B1_2021_p_seapar_0.9
ERK_2021_E01,2021,B1_2021_p_seapar_1.0,1,50000,2021_segment_1,2021-04-08,37.868200000000002,22.156310000000001,matched,,15,False,REC_2021_P001,2021-03-25T00:00:00,-14,14,False,False,True,16.082614898681641,-21.785585101318361,21.785585101318361,0.98326775087179952,ok,,B1_2021_p_seapar_1.0
ERK_2021_E02,2021,B1_2021_p_seapar_1.0,1,50000,2021_segment_1,2021-08-09,25.183499999999999,22.156310000000001,matched,,15,False,REC_2021_P002,2021-08-16T00:00:00,7,7,False,True,True,15.98066520690918,-9.202834793090819,9.202834793090819,0.41535954286119026,ok,,B1_2021_p_seapar_1.0
ERK_2022_E01,2022,B1_2022_p_seapar_0.0,0,1000,2022_segment_1,2022-08-07,57.523899999999998,16.804815000000001,matched,,15,False,REC_2022_P001,2022-08-04T00:00:00,-3,3,True,True,True,14.713225364685059,-42.810674635314939,42.810674635314939,2.5475243039161652,ok,,B1_2022_p_seapar_0.0
ERK_2022_E02,2022,B1_2022_p_seapar_0.0,0,1000,2022_segment_1,2022-09-26,9.1590399999999992,16.804815000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B1_2022_p_seapar_0.0
ERK_2022_E01,2022,B1_2022_p_seapar_0.1,0.10000000000000001,5900,2022_segment_1,2022-08-07,57.523899999999998,16.804815000000001,matched,,15,False,REC_2022_P001,2022-08-04T00:00:00,-3,3,True,True,True,14.418974876403809,-43.104925123596189,43.104925123596189,2.5650341954729159,ok,,B1_2022_p_seapar_0.1
ERK_2022_E02,2022,B1_2022_p_seapar_0.1,0.10000000000000001,5900,2022_segment_1,2022-09-26,9.1590399999999992,16.804815000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B1_2022_p_seapar_0.1
ERK_2022_E01,2022,B1_2022_p_seapar_0.2,0.20000000000000001,10800,2022_segment_1,2022-08-07,57.523899999999998,16.804815000000001,matched,,15,False,REC_2022_P001,2022-08-04T00:00:00,-3,3,True,True,True,14.453611373901367,-43.07028862609863,43.07028862609863,2.5629730899208725,ok,,B1_2022_p_seapar_0.2
ERK_2022_E02,2022,B1_2022_p_seapar_0.2,0.20000000000000001,10800,2022_segment_1,2022-09-26,9.1590399999999992,16.804815000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B1_2022_p_seapar_0.2
