event_id,year,method,p_seapar,coarse_smoothing,common_support_segment_id,reference_event_time,reference_magnitude,yearly_scale_q95_minus_q05,event_status,event_unavailable_reason,matching_window_days,magnitude_used_for_matching,matched_candidate_id,reconstructed_event_time,signed_timing_error_days,absolute_timing_error_days,success_5d,success_10d,success_15d,reconstructed_magnitude,signed_magnitude_error,absolute_magnitude_error,normalized_absolute_magnitude_error,magnitude_metric_status,magnitude_metric_reason,scenario_id
ERK_2021_E02,2021,B2_2021_coarse_1,1,1,2021_segment_1,2021-08-09,25.183499999999999,22.156310000000001,matched,,15,False,REC_2021_P004,2021-08-09,0,0,True,True,True,17.017147064208984,-8.1663529357910143,8.1663529357910143,0.36857910616844652,ok,,B2_2021_coarse_1
ERK_2021_E01,2021,B2_2021_coarse_0,1,0,2021_segment_1,2021-04-08,37.868200000000002,22.156310000000001,matched,,15,False,REC_2021_P001,2021-04-05,-3,3,True,True,True,28.943105697631836,-8.9250943023681657,8.9250943023681657,0.4028240398499644,ok,,B2_2021_coarse_0
ERK_2021_E02,2021,B2_2021_coarse_0,1,0,2021_segment_1,2021-08-09,25.183499999999999,22.156310000000001,matched,,15,False,REC_2021_P004,2021-08-14,5,5,True,True,True,18.662563323974609,-6.5209366760253893,6.5209366760253893,0.29431510373457442,ok,,B2_2021_coarse_0
ERK_2022_E01,2022,B2_2022_coarse_1000,1,1000,2022_segment_1,2022-08-07,57.523899999999998,16.804815000000001,matched,,15,False,REC_2022_P001,2022-08-04,-3,3,True,True,True,14.713225364685059,-42.810674635314939,42.810674635314939,2.5475243039161652,ok,,B2_2022_coarse_1000
ERK_2022_E02,2022,B2_2022_coarse_1000,1,1000,2022_segment_1,2022-09-26,9.1590399999999992,16.804815000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B2_2022_coarse_1000
ERK_2022_E01,2022,B2_2022_coarse_300,1,300,2022_segment_1,2022-08-07,57.523899999999998,16.804815000000001,matched,,15,False,REC_2022_P001,2022-08-04,-3,3,True,True,True,14.70887565612793,-42.815024343872068,42.815024343872068,2.5477831409552598,ok,,B2_2022_coarse_300
ERK_2022_E02,2022,B2_2022_coarse_300,1,300,2022_segment_1,2022-09-26,9.1590399999999992,16.804815000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B2_2022_coarse_300
ERK_2022_E01,2022,B2_2022_coarse_100,1,100,2022_segment_1,2022-08-07,57.523899999999998,16.804815000000001,matched,,15,False,REC_2022_P001,2022-08-04,-3,3,True,True,True,14.734967231750488,-42.788932768249509,42.788932768249509,2.5462305159711374,ok,,B2_2022_coarse_100
ERK_2022_E02,2022,B2_2022_coarse_100,1,100,2022_segment_1,2022-09-26,9.1590399999999992,16.804815000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B2_2022_coarse_100
ERK_2022_E01,2022,B2_2022_coarse_30,1,30,2022_segment_1,2022-08-07,57.523899999999998,16.804815000000001,matched,,15,False,REC_2022_P001,2022-08-04,-3,3,True,True,True,14.677679061889648,-42.846220938110349,42.846220938110349,2.5496395490286767,ok,,B2_2022_coarse_30
ERK_2022_E02,2022,B2_2022_coarse_30,1,30,2022_segment_1,2022-09-26,9.1590399999999992,16.804815000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B2_2022_coarse_30
ERK_2022_E01,2022,B2_2022_coarse_10,1,10,2022_segment_1,2022-08-07,57.523899999999998,16.804815000000001,matched,,15,False,REC_2022_P001,2022-08-02,-5,5,True,True,True,17.117193222045898,-40.406706777954099,40.406706777954099,2.4044719788914128,ok,,B2_2022_coarse_10
ERK_2022_E02,2022,B2_2022_coarse_10,1,10,2022_segment_1,2022-09-26,9.1590399999999992,16.804815000000001,matched,,15,False,REC_2022_P002,2022-10-07,11,11,False,False,True,4.9221587181091309,-4.2368812818908683,4.2368812818908683,0.2521230541300733,ok,,B2_2022_coarse_10
ERK_2022_E01,2022,B2_2022_coarse_3,1,3,2022_segment_1,2022-08-07,57.523899999999998,16.804815000000001,matched,,15,False,REC_2022_P001,2022-08-03,-4,4,True,True,True,17.481918334960938,-40.04198166503906,40.04198166503906,2.3827683711507124,ok,,B2_2022_coarse_3
ERK_2022_E02,2022,B2_2022_coarse_3,1,3,2022_segment_1,2022-09-26,9.1590399999999992,16.804815000000001,matched,,15,False,REC_2022_P002,2022-10-08,12,12,False,False,True,4.8302707672119141,-4.3287692327880851,4.3287692327880851,0.25759100786221595,ok,,B2_2022_coarse_3
ERK_2022_E01,2022,B2_2022_coarse_1,1,1,2022_segment_1,2022-08-07,57.523899999999998,16.804815000000001,matched,,15,False,REC_2022_P001,2022-08-04,-3,3,True,True,True,17.242204666137695,-40.281695333862302,40.281695333862302,2.3970329535827855,ok,,B2_2022_coarse_1
ERK_2022_E02,2022,B2_2022_coarse_1,1,1,2022_segment_1,2022-09-26,9.1590399999999992,16.804815000000001,matched,,15,False,REC_2022_P002,2022-10-09,13,13,False,False,True,5.0337300300598145,-4.1253099699401847,4.1253099699401847,0.24548380746471676,ok,,B2_2022_coarse_1
ERK_2022_E01,2022,B2_2022_coarse_0,1,0,2022_segment_1,2022-08-07,57.523899999999998,16.804815000000001,matched,,15,False,REC_2022_P001,2022-08-03,-4,4,True,True,True,17.007301330566406,-40.516598669433591,40.516598669433591,2.4110112886951502,ok,,B2_2022_coarse_0
