product_id,product_level,source_relative_path,platform,sensing_datetime_utc,acquisition_date,year,tile_id,relative_orbit,processing_baseline,generation_time_utc,product_uri,metadata_tile_id,acquisition_metadata_complete,band_asset_count,qa_asset_count,scl_asset_count,B4_raster_count,B5_raster_count,B6_raster_count,discovery_status
S2B_MSIL2A_20170701T102029_N0500_R065_T33UVB_20231007T160103,L2A,S2B_MSIL2A_20170701T102029_N0500_R065_T33UVB_20231007T160103.SAFE,S2B,2017-07-01T10:20:29Z,2017-07-01,2017,T33UVB,65,N0500,2023-10-07T16:01:03Z,S2B_MSIL2A_20170701T102029_N0500_R065_T33UVB_20231007T160103.SAFE,,True,25,31,2,3,2,2,inventoried
S2B_MSIL2A_20170704T103019_N0500_R108_T33UVB_20230911T223754,L2A,S2B_MSIL2A_20170704T103019_N0500_R108_T33UVB_20230911T223754.SAFE,S2B,2017-07-04T10:30:19Z,2017-07-04,2017,T33UVB,108,N0500,2023-09-11T22:37:54Z,S2B_MSIL2A_20170704T103019_N0500_R108_T33UVB_20230911T223754.SAFE,,True,25,31,2,3,2,2,inventoried
S2A_MSIL2A_20170706T102021_N0500_R065_T33UVB_20231005T045742,L2A,S2A_MSIL2A_20170706T102021_N0500_R065_T33UVB_20231005T045742.SAFE,S2A,2017-07-06T10:20:21Z,2017-07-06,2017,T33UVB,65,N0500,2023-10-05T04:57:42Z,S2A_MSIL2A_20170706T102021_N0500_R065_T33UVB_20231005T045742.SAFE,,True,25,31,2,3,2,2,inventoried
S2A_MSIL2A_20170709T103021_N0500_R108_T33UVB_20231005T234246,L2A,S2A_MSIL2A_20170709T103021_N0500_R108_T33UVB_20231005T234246.SAFE,S2A,2017-07-09T10:30:21Z,2017-07-09,2017,T33UVB,108,N0500,2023-10-05T23:42:46Z,S2A_MSIL2A_20170709T103021_N0500_R108_T33UVB_20231005T234246.SAFE,,True,25,31,2,3,2,2,inventoried
S2B_MSIL2A_20170711T102029_N0500_R065_T33UVB_20231006T044506,L2A,S2B_MSIL2A_20170711T102029_N0500_R065_T33UVB_20231006T044506.SAFE,S2B,2017-07-11T10:20:29Z,2017-07-11,2017,T33UVB,65,N0500,2023-10-06T04:45:06Z,S2B_MSIL2A_20170711T102029_N0500_R065_T33UVB_20231006T044506.SAFE,,True,25,31,2,3,2,2,inventoried
S2B_MSIL2A_20170714T103019_N0500_R108_T33UVB_20231006T015342,L2A,S2B_MSIL2A_20170714T103019_N0500_R108_T33UVB_20231006T015342.SAFE,S2B,2017-07-14T10:30:19Z,2017-07-14,2017,T33UVB,108,N0500,2023-10-06T01:53:42Z,S2B_MSIL2A_20170714T103019_N0500_R108_T33UVB_20231006T015342.SAFE,,True,25,31,2,3,2,2,inventoried
S2A_MSIL2A_20170716T102021_N0500_R065_T33UVB_20231005T091150,L2A,S2A_MSIL2A_20170716T102021_N0500_R065_T33UVB_20231005T091150.SAFE,S2A,2017-07-16T10:20:21Z,2017-07-16,2017,T33UVB,65,N0500,2023-10-05T09:11:50Z,S2A_MSIL2A_20170716T102021_N0500_R065_T33UVB_20231005T091150.SAFE,,True,25,31,2,3,2,2,inventoried
S2A_MSIL2A_20170719T103021_N0500_R108_T33UVB_20230921T222931,L2A,S2A_MSIL2A_20170719T103021_N0500_R108_T33UVB_20230921T222931.SAFE,S2A,2017-07-19T10:30:21Z,2017-07-19,2017,T33UVB,108,N0500,2023-09-21T22:29:31Z,S2A_MSIL2A_20170719T103021_N0500_R108_T33UVB_20230921T222931.SAFE,,True,25,31,2,3,2,2,inventoried
S2B_MSIL2A_20170721T102029_N0500_R065_T33UVB_20231005T181217,L2A,S2B_MSIL2A_20170721T102029_N0500_R065_T33UVB_20231005T181217.SAFE,S2B,2017-07-21T10:20:29Z,2017-07-21,2017,T33UVB,65,N0500,2023-10-05T18:12:17Z,S2B_MSIL2A_20170721T102029_N0500_R065_T33UVB_20231005T181217.SAFE,,True,25,31,2,3,2,2,inventoried
S2B_MSIL2A_20170724T103019_N0500_R108_T33UVB_20230919T050228,L2A,S2B_MSIL2A_20170724T103019_N0500_R108_T33UVB_20230919T050228.SAFE,S2B,2017-07-24T10:30:19Z,2017-07-24,2017,T33UVB,108,N0500,2023-09-19T05:02:28Z,S2B_MSIL2A_20170724T103019_N0500_R108_T33UVB_20230919T050228.SAFE,,True,25,31,2,3,2,2,inventoried
