omitted_year,method_a,method_b,metric,metric_label,unit,favorable_direction,mean_advantage_for_method_a_after_omission,n_paired_years_retained
2023,linear_interpolation,timesat_smoothing_spline,mae,point-wise MAE,ug_L,lower,0.27257247701869919,6
2024,linear_interpolation,timesat_smoothing_spline,mae,point-wise MAE,ug_L,lower,0.28177349705050342,6
2025,linear_interpolation,timesat_smoothing_spline,mae,point-wise MAE,ug_L,lower,0.29637017493435874,6
2019,linear_interpolation,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.27571013536726985,6
2020,linear_interpolation,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.14819995243394526,6
2021,linear_interpolation,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.21667821999890868,6
2022,linear_interpolation,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.27267139383518579,6
2023,linear_interpolation,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.25923220448723516,6
2024,linear_interpolation,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.24602492328419426,6
2025,linear_interpolation,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.27291185202804052,6
2019,linear_interpolation,timesat_smoothing_spline,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.022880427358868052,6
2020,linear_interpolation,timesat_smoothing_spline,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.015038330522404803,6
2021,linear_interpolation,timesat_smoothing_spline,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.015265646013888615,6
2022,linear_interpolation,timesat_smoothing_spline,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.022025098968473964,6
2023,linear_interpolation,timesat_smoothing_spline,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.018507802565207968,6
2024,linear_interpolation,timesat_smoothing_spline,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.020154678988228852,6
2025,linear_interpolation,timesat_smoothing_spline,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.022390577204905251,6
2019,linear_interpolation,timesat_smoothing_spline,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.16666666666666666,6
2020,linear_interpolation,timesat_smoothing_spline,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.16666666666666666,6
2021,linear_interpolation,timesat_smoothing_spline,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.16666666666666666,6
2022,linear_interpolation,timesat_smoothing_spline,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0,6
2023,linear_interpolation,timesat_smoothing_spline,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.16666666666666666,6
2024,linear_interpolation,timesat_smoothing_spline,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.16666666666666666,6
2025,linear_interpolation,timesat_smoothing_spline,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.16666666666666666,6
2019,linear_interpolation,timesat_smoothing_spline,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,6
2020,linear_interpolation,timesat_smoothing_spline,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,6
2021,linear_interpolation,timesat_smoothing_spline,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,6
2022,linear_interpolation,timesat_smoothing_spline,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,6
2023,linear_interpolation,timesat_smoothing_spline,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,6
2024,linear_interpolation,timesat_smoothing_spline,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,6
2025,linear_interpolation,timesat_smoothing_spline,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,6
2019,linear_interpolation,timesat_smoothing_spline,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0,6
2020,linear_interpolation,timesat_smoothing_spline,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.16666666666666666,6
2021,linear_interpolation,timesat_smoothing_spline,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.16666666666666666,6
2022,linear_interpolation,timesat_smoothing_spline,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.16666666666666666,6
2023,linear_interpolation,timesat_smoothing_spline,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.16666666666666666,6
2024,linear_interpolation,timesat_smoothing_spline,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.16666666666666666,6
2025,linear_interpolation,timesat_smoothing_spline,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.16666666666666666,6
2019,linear_interpolation,timesat_smoothing_spline,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.037460107575371403,6
2020,linear_interpolation,timesat_smoothing_spline,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.02437967741237616,6
2021,linear_interpolation,timesat_smoothing_spline,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.029482638439789505,6
2022,linear_interpolation,timesat_smoothing_spline,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.037170786073189653,6
2023,linear_interpolation,timesat_smoothing_spline,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.034238307431614302,6
2024,linear_interpolation,timesat_smoothing_spline,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.034405957444575551,6
