method,duration_days,observations_removed,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_in_stratum,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total,n_metric_available_total,n_metric_unavailable_total,a_gap_observed_minimum,a_gap_observed_maximum,window_midpoint_relative_position_observed_minimum,window_midpoint_relative_position_observed_maximum,observations_removed_observed_minimum,observations_removed_observed_maximum,resulting_maximum_internal_gap_days_observed_minimum,resulting_maximum_internal_gap_days_observed_maximum
linear_interpolation,20,2,primary_controlled_consecutive_gap,absolute_peak_date_error_days,absolute global-peak date error,days,lower,35.563311688311686,2.9475649350649356,91.831168831168824,7,7,324,0,324,0,0.0380392547350724,7.1308836187723568,0.051923076923076801,0.95799999999999996,2,2,22,63
linear_interpolation,20,2,primary_controlled_consecutive_gap,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.099770744674163844,0.063669652257655182,0.13965056198379147,7,7,324,0,324,0,0.0380392547350724,7.1308836187723568,0.051923076923076801,0.95799999999999996,2,2,22,63
linear_interpolation,20,2,primary_controlled_consecutive_gap,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.8022800805041419,0.25767018372443534,1.445168297726023,7,7,324,0,324,0,0.0380392547350724,7.1308836187723568,0.051923076923076801,0.95799999999999996,2,2,22,63
linear_interpolation,20,2,primary_controlled_consecutive_gap,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.21150060646293439,0.16699979077497334,0.24919882302490096,7,7,324,0,324,0,0.0380392547350724,7.1308836187723568,0.051923076923076801,0.95799999999999996,2,2,22,63
linear_interpolation,20,2,primary_controlled_consecutive_gap,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.68668831168831168,0.36363636363636365,0.97835497835497842,7,7,324,0,324,0,0.0380392547350724,7.1308836187723568,0.051923076923076801,0.95799999999999996,2,2,22,63
linear_interpolation,20,2,primary_controlled_consecutive_gap,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.68668831168831168,0.38528138528138534,0.97835497835497842,7,7,324,0,324,0,0.0380392547350724,7.1308836187723568,0.051923076923076801,0.95799999999999996,2,2,22,63
linear_interpolation,20,2,primary_controlled_consecutive_gap,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.56547619047619047,0.14285714285714285,0.8571428571428571,7,7,324,0,324,0,0.0380392547350724,7.1308836187723568,0.051923076923076801,0.95799999999999996,2,2,22,63
linear_interpolation,20,2,primary_controlled_consecutive_gap,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.85328177390403293,0.81368643174642885,0.89702934784354138,7,7,324,0,324,0,0.0380392547350724,7.1308836187723568,0.051923076923076801,0.95799999999999996,2,2,22,63
linear_interpolation,20,2,primary_controlled_consecutive_gap,rmse,point-wise RMSE,ug_L,lower,4.4889496845270527,2.961188030115351,6.1722467151244844,7,7,324,0,324,0,0.0380392547350724,7.1308836187723568,0.051923076923076801,0.95799999999999996,2,2,22,63
linear_interpolation,20,3,primary_controlled_consecutive_gap,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,174.42751512846283,122.23509294144574,241.98044039251616,7,7,362,0,362,0,0.0846403703328686,11.103498311786192,0.0403846153846152,0.95333333333333325,3,3,22,85
linear_interpolation,20,3,primary_controlled_consecutive_gap,absolute_peak_date_error_days,absolute global-peak date error,days,lower,37.890831578288889,4.5333179723502308,93.982260149717447,7,7,362,0,362,0,0.0846403703328686,11.103498311786192,0.0403846153846152,0.95333333333333325,3,3,22,85
linear_interpolation,20,3,primary_controlled_consecutive_gap,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.1063927996355465,0.076598694802625919,0.14180500307988828,7,7,362,0,362,0,0.0846403703328686,11.103498311786192,0.0403846153846152,0.95333333333333325,3,3,22,85
linear_interpolation,20,3,primary_controlled_consecutive_gap,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.81658287584561295,0.27002537742391097,1.4488591359559115,7,7,362,0,362,0,0.0846403703328686,11.103498311786192,0.0403846153846152,0.95333333333333325,3,3,22,85
linear_interpolation,20,3,primary_controlled_consecutive_gap,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.21684513212034603,0.17494355793701921,0.25535078062154282,7,7,362,0,362,0,0.0846403703328686,11.103498311786192,0.0403846153846152,0.95333333333333325,3,3,22,85
linear_interpolation,20,3,primary_controlled_consecutive_gap,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.65835105754460599,0.37142857142857144,0.93335105754460579,7,7,362,0,362,0,0.0846403703328686,11.103498311786192,0.0403846153846152,0.95333333333333325,3,3,22,85
linear_interpolation,20,3,primary_controlled_consecutive_gap,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.67477962897317745,0.38593406593406593,0.95868131868131867,7,7,362,0,362,0,0.0846403703328686,11.103498311786192,0.0403846153846152,0.95333333333333325,3,3,22,85
linear_interpolation,20,3,primary_controlled_consecutive_gap,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.53454153373508206,0.14285714285714285,0.82499999999999996,7,7,362,0,362,0,0.0846403703328686,11.103498311786192,0.0403846153846152,0.95333333333333325,3,3,22,85
linear_interpolation,20,3,primary_controlled_consecutive_gap,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.84328093974419216,0.8060561914351102,0.88204536581772963,7,7,362,0,362,0,0.0846403703328686,11.103498311786192,0.0403846153846152,0.95333333333333325,3,3,22,85
