duration_days,method_a,method_b,metric,analysis_role,metric_label,unit,favorable_direction,mean_raw_difference_a_minus_b,raw_difference_ci_lower,raw_difference_ci_upper,mean_advantage_for_method_a,advantage_ci_lower,advantage_ci_upper,n_paired_years,n_years_method_a_favored,n_years_method_b_favored,n_year_ties
30,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_15d,primary_controlled_consecutive_gap,global-peak timing success <=15 d,fraction,higher,0.040358710890111858,-0.024076335187446316,0.1498646281254977,0.040358710890111858,-0.024076335187446316,0.1498646281254977,7,1,2,4
30,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_5d,primary_controlled_consecutive_gap,global-peak timing success <=5 d,fraction,higher,-0.048363087363678801,-0.36231319212060575,0.30952350583574578,-0.048363087363678801,-0.36495971226712587,0.3080684793807188,7,1,5,1
30,timesat_smoothing_spline,timesat_double_logistic,pearson_correlation,primary_controlled_consecutive_gap,daily trajectory Pearson correlation,correlation,higher,0.076933044557953995,0.021314876761710823,0.12991256403352808,0.076933044557953995,0.02294485918995549,0.13048336701522786,7,5,2,0
30,timesat_smoothing_spline,timesat_double_logistic,rmse,primary_controlled_consecutive_gap,point-wise RMSE,ug_L,lower,-0.40401529397023717,-0.83162110775422615,0.074722040640996176,0.40401529397023717,-0.063114108501972854,0.8203408629436223,7,5,2,0
45,linear_interpolation,timesat_double_logistic,absolute_integral_error,primary_controlled_consecutive_gap,absolute common-support integral error,ug_day_L,lower,-24.042161364301993,-44.772870576945117,-3.1002803762902995,24.042161364301993,2.7360079143235305,45.028785667743918,7,5,2,0
45,linear_interpolation,timesat_double_logistic,absolute_peak_date_error_days,primary_controlled_consecutive_gap,absolute global-peak date error,days,lower,-19.783379980080706,-41.407020220568228,-2.1482221923662741,19.783379980080706,2.1821956128956841,41.273165047448849,7,5,2,0
45,linear_interpolation,timesat_double_logistic,absolute_relative_integral_error,primary_controlled_consecutive_gap,absolute relative common-support integral error,fraction,lower,-0.018289540883098622,-0.036026839734951431,-0.0022159815672786998,0.018289540883098622,0.0022159815672786998,0.036325427906439417,7,5,2,0
45,linear_interpolation,timesat_double_logistic,normalized_absolute_peak_magnitude_error,primary_controlled_consecutive_gap,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,-0.46653333202836217,-0.71549382303929931,-0.24432942501196647,0.46653333202836217,0.24656297396957619,0.71591456032039413,7,7,0,0
45,linear_interpolation,timesat_double_logistic,nrmse,primary_controlled_consecutive_gap,point-wise nRMSE,fraction_Q95_minus_Q05,lower,-0.051342659246220057,-0.073664140790030766,-0.029210242033553723,0.051342659246220057,0.030061931712066912,0.073718736609211327,7,7,0,0
45,linear_interpolation,timesat_double_logistic,peak_timing_success_10d,primary_controlled_consecutive_gap,global-peak timing success <=10 d,fraction,higher,0.12798693590026727,-0.04016640231915828,0.39733369620910131,0.12798693590026727,-0.04198227486065971,0.39681234611582772,7,3,3,1
45,linear_interpolation,timesat_double_logistic,peak_timing_success_15d,primary_controlled_consecutive_gap,global-peak timing success <=15 d,fraction,higher,0.025610522937910853,-0.060537525430910497,0.13119337404974982,0.025610522937910853,-0.060748977735379538,0.13154957423778865,7,3,3,1
45,linear_interpolation,timesat_double_logistic,peak_timing_success_5d,primary_controlled_consecutive_gap,global-peak timing success <=5 d,fraction,higher,0.10551397838742108,-0.2247030370193128,0.44225463145447375,0.10551397838742108,-0.2200375741576818,0.44590637970341634,7,4,2,1
45,linear_interpolation,timesat_double_logistic,pearson_correlation,primary_controlled_consecutive_gap,daily trajectory Pearson correlation,correlation,higher,0.12877785758634602,0.071730087229875589,0.18599486171370189,0.12877785758634602,0.071711215882491325,0.18744917937544198,7,7,0,0
45,linear_interpolation,timesat_double_logistic,rmse,primary_controlled_consecutive_gap,point-wise RMSE,ug_L,lower,-1.0002689000678435,-1.4818567197115533,-0.57549465271921474,1.0002689000678435,0.57964697303311463,1.4796533342709277,7,7,0,0
