omitted_year,method,metric,metric_label,unit,favorable_direction,equal_year_estimate_after_omission,n_years_retained
2022,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.66666666666666663,6
2023,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.66666666666666663,6
2024,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.66666666666666663,6
2025,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.83333333333333337,6
2019,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.5,6
2020,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.66666666666666663,6
2021,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.66666666666666663,6
2022,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.5,6
2023,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.5,6
2024,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.5,6
2025,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.66666666666666663,6
2019,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.7320316394757812,6
2020,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.75461964452670793,6
2021,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.74751570902278208,6
2022,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.75047919796670504,6
2023,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.72175921347386141,6
2024,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.73334284596898802,6
2025,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.75283716834850212,6
2019,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,4.9237587184557041,6
2020,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,5.3266340489871764,6
2021,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,5.4428122058231247,6
2022,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,5.2813730892812778,6
2023,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,5.9027172515126791,6
2024,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,5.6058143133451201,6
2025,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,4.8338871233775658,6
2019,timesat_smoothing_spline,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,157.67750030026755,6
2020,timesat_smoothing_spline,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,196.21354991149846,6
2021,timesat_smoothing_spline,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,195.61549854277186,6
2022,timesat_smoothing_spline,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,188.685410335179,6
2023,timesat_smoothing_spline,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,193.71766844000535,6
2024,timesat_smoothing_spline,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,202.33490491277834,6
2025,timesat_smoothing_spline,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,175.27469404584568,6
2019,timesat_smoothing_spline,absolute_peak_date_error_days,absolute global-peak date error,days,lower,62.166666666666664,6
2020,timesat_smoothing_spline,absolute_peak_date_error_days,absolute global-peak date error,days,lower,38.5,6
2021,timesat_smoothing_spline,absolute_peak_date_error_days,absolute global-peak date error,days,lower,63.166666666666664,6
2022,timesat_smoothing_spline,absolute_peak_date_error_days,absolute global-peak date error,days,lower,61.5,6
2023,timesat_smoothing_spline,absolute_peak_date_error_days,absolute global-peak date error,days,lower,63.5,6
2024,timesat_smoothing_spline,absolute_peak_date_error_days,absolute global-peak date error,days,lower,63.166666666666664,6
2025,timesat_smoothing_spline,absolute_peak_date_error_days,absolute global-peak date error,days,lower,30,6
2019,timesat_smoothing_spline,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,21.25636567179362,6
2020,timesat_smoothing_spline,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,23.265245951334634,6
2021,timesat_smoothing_spline,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,25.264464429728189,6
2022,timesat_smoothing_spline,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,19.99747896830241,6
2023,timesat_smoothing_spline,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,26.467905917358397,6
