scenario_family,level_name,level_value,method,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total
random_deletion,deletion_fraction,0.10000000000000001,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.73595796911054756,0.68741269313467601,0.79110505055388025,7,700,0
random_deletion,deletion_fraction,0.20000000000000001,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,global_peak_success_fraction_10d,global-peak timing success <=10 d,fraction,higher,0.1357142857142857,-0.0028571428571428597,0.37714285714285711,7,700,0
random_deletion,deletion_fraction,0.20000000000000001,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_absolute_global_peak_timing_error_days,absolute global-peak date error,days,lower,11.203571428571427,-0.10285714285714349,28.754714285714282,7,700,0
random_deletion,deletion_fraction,0.20000000000000001,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_absolute_integral_error,absolute common-support integral error,ug_day_L,lower,-11.317810638271071,-22.76470118826763,-0.37877751456612513,7,700,0
random_deletion,deletion_fraction,0.20000000000000001,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_event_recovery_fraction_10d,major-event recovery <=10 d,fraction,higher,0.13178571428571426,-0.0083333333333333731,0.2873809523809524,7,700,0
random_deletion,deletion_fraction,0.20000000000000001,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.010655991135179668,0.0030808782325987788,0.018565894769333031,7,700,0
random_deletion,deletion_fraction,0.20000000000000001,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.035059475840048808,0.010684460550049931,0.062312915805562911,7,700,0
random_deletion,deletion_fraction,0.20000000000000001,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,global_peak_success_fraction_10d,global-peak timing success <=10 d,fraction,higher,0.7142857142857143,0.40857142857142853,0.97571428571428576,7,700,0
random_deletion,deletion_fraction,0.20000000000000001,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_absolute_global_peak_timing_error_days,absolute global-peak date error,days,lower,47.22428571428572,5.902857142857143,102.3142857142857,7,700,0
random_deletion,deletion_fraction,0.20000000000000001,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_absolute_integral_error,absolute common-support integral error,ug_day_L,lower,176.90874716585776,109.17536227900557,282.26963374936884,7,700,0
random_deletion,deletion_fraction,0.20000000000000001,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_event_recovery_fraction_10d,major-event recovery <=10 d,fraction,higher,0.49071428571428571,0.28499999999999998,0.7014285714285714,7,700,0
random_deletion,deletion_fraction,0.20000000000000001,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.24742663167866147,0.21897949718283197,0.27631333519909557,7,700,0
random_deletion,deletion_fraction,0.20000000000000001,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.76144525822158704,0.71235883133408151,0.80709057421705943,7,700,0
random_deletion,deletion_fraction,0.20000000000000001,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,global_peak_success_fraction_10d,global-peak timing success <=10 d,fraction,higher,0.57857142857142851,0.18285714285714288,0.8628928571428568,7,700,0
