year,method,duration_days,scenario_family,covariate,outcome,association,spearman_correlation,n_scenarios_available,covariate_minimum,covariate_maximum
2019,linear_interpolation,20,consecutive_internal_gap,window_midpoint_relative_position,peak_timing_success_10d,within_year_spearman,-0.074841131215283435,207,0.045258620689655103,0.95474137931034475
2020,linear_interpolation,20,consecutive_internal_gap,window_midpoint_relative_position,peak_timing_success_10d,within_year_spearman,,261,0.042222222222222203,0.95333333333333325
2021,linear_interpolation,20,consecutive_internal_gap,window_midpoint_relative_position,peak_timing_success_10d,within_year_spearman,0.41926638526215676,240,0.0403846153846152,0.95961538461538465
2022,linear_interpolation,20,consecutive_internal_gap,window_midpoint_relative_position,peak_timing_success_10d,within_year_spearman,0.064500720502872477,215,0.044680851063829602,0.9553191489361702
2023,linear_interpolation,20,consecutive_internal_gap,window_midpoint_relative_position,peak_timing_success_10d,within_year_spearman,,167,0.0472972972972973,0.85360360360360354
2024,linear_interpolation,20,consecutive_internal_gap,window_midpoint_relative_position,peak_timing_success_10d,within_year_spearman,-0.15279310501541082,205,0.046666666666666502,0.95333333333333325
2025,linear_interpolation,20,consecutive_internal_gap,window_midpoint_relative_position,peak_timing_success_10d,within_year_spearman,,230,0.042000000000000003,0.95799999999999996
2019,linear_interpolation,30,consecutive_internal_gap,a_gap,absolute_peak_date_error_days,within_year_spearman,0.59922690814529833,202,0.048636719550354902,15.484027686454541
2020,linear_interpolation,30,consecutive_internal_gap,a_gap,absolute_peak_date_error_days,within_year_spearman,0.40571307009488727,243,0.3362223017416513,8.8796529494701559
2021,linear_interpolation,30,consecutive_internal_gap,a_gap,absolute_peak_date_error_days,within_year_spearman,0.45590937698419398,230,0.23456748890045301,4.0333918418725858
2022,linear_interpolation,30,consecutive_internal_gap,a_gap,absolute_peak_date_error_days,within_year_spearman,0.60086697971115477,205,0.31778868139875383,8.5961529478307259
2023,linear_interpolation,30,consecutive_internal_gap,a_gap,absolute_peak_date_error_days,within_year_spearman,0.061199950587179842,180,0.56491045956875896,4.5948397330260757
2024,linear_interpolation,30,consecutive_internal_gap,a_gap,absolute_peak_date_error_days,within_year_spearman,0.61110345685248912,195,0.32363232165688283,10.492798556141418
2025,linear_interpolation,30,consecutive_internal_gap,a_gap,absolute_peak_date_error_days,within_year_spearman,0.00029654088151772636,220,0.17234933132972691,9.7623968558279035
2019,linear_interpolation,30,consecutive_internal_gap,a_gap,nrmse,within_year_spearman,0.14929949396372744,202,0.048636719550354902,15.484027686454541
2020,linear_interpolation,30,consecutive_internal_gap,a_gap,nrmse,within_year_spearman,0.71227811270104924,243,0.3362223017416513,8.8796529494701559
2021,linear_interpolation,30,consecutive_internal_gap,a_gap,nrmse,within_year_spearman,0.88200775720903823,230,0.23456748890045301,4.0333918418725858
2022,linear_interpolation,30,consecutive_internal_gap,a_gap,nrmse,within_year_spearman,0.57031991011644068,205,0.31778868139875383,8.5961529478307259
2023,linear_interpolation,30,consecutive_internal_gap,a_gap,nrmse,within_year_spearman,-0.056928402619451229,180,0.56491045956875896,4.5948397330260757
2024,linear_interpolation,30,consecutive_internal_gap,a_gap,nrmse,within_year_spearman,0.70590571386736856,195,0.32363232165688283,10.492798556141418
2025,linear_interpolation,30,consecutive_internal_gap,a_gap,nrmse,within_year_spearman,-0.019359779019636002,220,0.17234933132972691,9.7623968558279035
2019,linear_interpolation,30,consecutive_internal_gap,a_gap,peak_timing_success_10d,within_year_spearman,-0.47199878890387803,202,0.048636719550354902,15.484027686454541
2020,linear_interpolation,30,consecutive_internal_gap,a_gap,peak_timing_success_10d,within_year_spearman,,243,0.3362223017416513,8.8796529494701559
2021,linear_interpolation,30,consecutive_internal_gap,a_gap,peak_timing_success_10d,within_year_spearman,-0.41970655404523038,230,0.23456748890045301,4.0333918418725858
2022,linear_interpolation,30,consecutive_internal_gap,a_gap,peak_timing_success_10d,within_year_spearman,-0.60193595011161116,205,0.31778868139875383,8.5961529478307259
2023,linear_interpolation,30,consecutive_internal_gap,a_gap,peak_timing_success_10d,within_year_spearman,,180,0.56491045956875896,4.5948397330260757
2024,linear_interpolation,30,consecutive_internal_gap,a_gap,peak_timing_success_10d,within_year_spearman,-0.60852183398323167,195,0.32363232165688283,10.492798556141418
2025,linear_interpolation,30,consecutive_internal_gap,a_gap,peak_timing_success_10d,within_year_spearman,,220,0.17234933132972691,9.7623968558279035
2019,linear_interpolation,30,consecutive_internal_gap,observations_removed,absolute_peak_date_error_days,within_year_spearman,0.47204850962099959,202,2,8
2020,linear_interpolation,30,consecutive_internal_gap,observations_removed,absolute_peak_date_error_days,within_year_spearman,0.27655946893564887,243,1,11
2021,linear_interpolation,30,consecutive_internal_gap,observations_removed,absolute_peak_date_error_days,within_year_spearman,0.077678028480528835,230,2,9
2022,linear_interpolation,30,consecutive_internal_gap,observations_removed,absolute_peak_date_error_days,within_year_spearman,-0.0029738393160860998,205,1,7
2023,linear_interpolation,30,consecutive_internal_gap,observations_removed,absolute_peak_date_error_days,within_year_spearman,0.16115659182641071,180,1,10
2024,linear_interpolation,30,consecutive_internal_gap,observations_removed,absolute_peak_date_error_days,within_year_spearman,0.17348276543986041,195,2,11
2025,linear_interpolation,30,consecutive_internal_gap,observations_removed,absolute_peak_date_error_days,within_year_spearman,-0.074781425357849901,220,2,9
2019,linear_interpolation,30,consecutive_internal_gap,observations_removed,nrmse,within_year_spearman,0.51733340931738936,202,2,8
2020,linear_interpolation,30,consecutive_internal_gap,observations_removed,nrmse,within_year_spearman,0.059281788190411126,243,1,11
2021,linear_interpolation,30,consecutive_internal_gap,observations_removed,nrmse,within_year_spearman,-0.12736799867352006,230,2,9
2022,linear_interpolation,30,consecutive_internal_gap,observations_removed,nrmse,within_year_spearman,-0.17925422329662538,205,1,7
2023,linear_interpolation,30,consecutive_internal_gap,observations_removed,nrmse,within_year_spearman,0.34260008084734145,180,1,10
2024,linear_interpolation,30,consecutive_internal_gap,observations_removed,nrmse,within_year_spearman,-0.44719907164546158,195,2,11
2025,linear_interpolation,30,consecutive_internal_gap,observations_removed,nrmse,within_year_spearman,0.10406401854348152,220,2,9
2019,linear_interpolation,30,consecutive_internal_gap,observations_removed,peak_timing_success_10d,within_year_spearman,-0.37439406516981544,202,2,8
2020,linear_interpolation,30,consecutive_internal_gap,observations_removed,peak_timing_success_10d,within_year_spearman,,243,1,11
2021,linear_interpolation,30,consecutive_internal_gap,observations_removed,peak_timing_success_10d,within_year_spearman,-0.10171659440581654,230,2,9
2022,linear_interpolation,30,consecutive_internal_gap,observations_removed,peak_timing_success_10d,within_year_spearman,-0.018543977303201536,205,1,7
2023,linear_interpolation,30,consecutive_internal_gap,observations_removed,peak_timing_success_10d,within_year_spearman,,180,1,10
2024,linear_interpolation,30,consecutive_internal_gap,observations_removed,peak_timing_success_10d,within_year_spearman,-0.17116800972839777,195,2,11
2025,linear_interpolation,30,consecutive_internal_gap,observations_removed,peak_timing_success_10d,within_year_spearman,,220,2,9
2019,linear_interpolation,30,consecutive_internal_gap,window_midpoint_relative_position,absolute_peak_date_error_days,within_year_spearman,0.10342243908856835,202,0.066810344827586202,0.93318965517241381
2020,linear_interpolation,30,consecutive_internal_gap,window_midpoint_relative_position,absolute_peak_date_error_days,within_year_spearman,0.053500624627897231,243,0.064444444444444401,0.93111111111111122
2021,linear_interpolation,30,consecutive_internal_gap,window_midpoint_relative_position,absolute_peak_date_error_days,within_year_spearman,-0.48842565218550488,230,0.059615384615384501,0.94038461538461515
2022,linear_interpolation,30,consecutive_internal_gap,window_midpoint_relative_position,absolute_peak_date_error_days,within_year_spearman,-0.083519753641849839,205,0.065957446808510498,0.93404255319148921
2023,linear_interpolation,30,consecutive_internal_gap,window_midpoint_relative_position,absolute_peak_date_error_days,within_year_spearman,-0.18155985340863351,180,0.069819819819819801,0.87612612612612595
2024,linear_interpolation,30,consecutive_internal_gap,window_midpoint_relative_position,absolute_peak_date_error_days,within_year_spearman,0.20315038900729881,195,0.068888888888888805,0.93111111111111122
2025,linear_interpolation,30,consecutive_internal_gap,window_midpoint_relative_position,absolute_peak_date_error_days,within_year_spearman,-0.12626154720871943,220,0.062,0.93799999999999994
2019,linear_interpolation,30,consecutive_internal_gap,window_midpoint_relative_position,nrmse,within_year_spearman,0.067390842551956487,202,0.066810344827586202,0.93318965517241381
2020,linear_interpolation,30,consecutive_internal_gap,window_midpoint_relative_position,nrmse,within_year_spearman,0.15929836833373537,243,0.064444444444444401,0.93111111111111122
2021,linear_interpolation,30,consecutive_internal_gap,window_midpoint_relative_position,nrmse,within_year_spearman,-0.15571501688807185,230,0.059615384615384501,0.94038461538461515
2022,linear_interpolation,30,consecutive_internal_gap,window_midpoint_relative_position,nrmse,within_year_spearman,-0.11968505443304896,205,0.065957446808510498,0.93404255319148921
2023,linear_interpolation,30,consecutive_internal_gap,window_midpoint_relative_position,nrmse,within_year_spearman,-0.10602238495990148,180,0.069819819819819801,0.87612612612612595
2024,linear_interpolation,30,consecutive_internal_gap,window_midpoint_relative_position,nrmse,within_year_spearman,0.18599343523311118,195,0.068888888888888805,0.93111111111111122
2025,linear_interpolation,30,consecutive_internal_gap,window_midpoint_relative_position,nrmse,within_year_spearman,-0.1583833841476297,220,0.062,0.93799999999999994
2019,linear_interpolation,30,consecutive_internal_gap,window_midpoint_relative_position,peak_timing_success_10d,within_year_spearman,-0.090974823258117093,202,0.066810344827586202,0.93318965517241381
2020,linear_interpolation,30,consecutive_internal_gap,window_midpoint_relative_position,peak_timing_success_10d,within_year_spearman,,243,0.064444444444444401,0.93111111111111122
2021,linear_interpolation,30,consecutive_internal_gap,window_midpoint_relative_position,peak_timing_success_10d,within_year_spearman,0.42766307639679874,230,0.059615384615384501,0.94038461538461515
2022,linear_interpolation,30,consecutive_internal_gap,window_midpoint_relative_position,peak_timing_success_10d,within_year_spearman,0.087456792441632764,205,0.065957446808510498,0.93404255319148921
2023,linear_interpolation,30,consecutive_internal_gap,window_midpoint_relative_position,peak_timing_success_10d,within_year_spearman,,180,0.069819819819819801,0.87612612612612595
2024,linear_interpolation,30,consecutive_internal_gap,window_midpoint_relative_position,peak_timing_success_10d,within_year_spearman,-0.20831141619757931,195,0.068888888888888805,0.93111111111111122
