method,deletion_fraction,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_in_stratum,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total,n_metric_available_total,n_metric_unavailable_total,observations_remaining_observed_minimum,observations_remaining_observed_maximum,resulting_observation_density_observed_minimum,resulting_observation_density_observed_maximum,resulting_maximum_internal_gap_days_observed_minimum,resulting_maximum_internal_gap_days_observed_maximum,n_delete_observed_minimum,n_delete_observed_maximum
timesat_double_logistic,0.10000000000000001,primary_controlled_random_deletion,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.57714285714285718,0.16142857142857145,0.86142857142857132,7,7,700,0,700,0,24,51,0.1076233183856502,0.1713147410358565,15,60,3,5
timesat_double_logistic,0.10000000000000001,primary_controlled_random_deletion,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.66000000000000003,0.32428571428571429,0.93285714285714294,7,7,700,0,700,0,24,51,0.1076233183856502,0.1713147410358565,15,60,3,5
timesat_double_logistic,0.10000000000000001,primary_controlled_random_deletion,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.53285714285714292,0.15142857142857144,0.84999999999999998,7,7,700,0,700,0,24,51,0.1076233183856502,0.1713147410358565,15,60,3,5
timesat_double_logistic,0.10000000000000001,primary_controlled_random_deletion,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.73595796911054756,0.68616404873397818,0.79110505055388025,7,7,700,0,700,0,24,51,0.1076233183856502,0.1713147410358565,15,60,3,5
timesat_double_logistic,0.10000000000000001,primary_controlled_random_deletion,rmse,point-wise RMSE,ug_L,lower,5.3804130280075402,3.8699996486878154,6.850552839614708,7,7,700,0,700,0,24,51,0.1076233183856502,0.1713147410358565,15,60,3,5
timesat_double_logistic,0.20000000000000001,primary_controlled_random_deletion,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,165.59093652758671,95.222084636168688,279.36594619341059,7,7,700,0,700,0,22,45,0.098654708520179199,0.15537848605577681,15,72,5,11
timesat_double_logistic,0.20000000000000001,primary_controlled_random_deletion,absolute_peak_date_error_days,absolute global-peak date error,days,lower,58.427857142857142,13.957857142857142,113.79285714285716,7,7,700,0,700,0,22,45,0.098654708520179199,0.15537848605577681,15,72,5,11
timesat_double_logistic,0.20000000000000001,primary_controlled_random_deletion,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.099211752760906574,0.060381640765772446,0.15774376205747589,7,7,700,0,700,0,22,45,0.098654708520179199,0.15537848605577681,15,72,5,11
timesat_double_logistic,0.20000000000000001,primary_controlled_random_deletion,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.3061217961076035,0.77875506486719837,1.8545324861238039,7,7,700,0,700,0,22,45,0.098654708520179199,0.15537848605577681,15,72,5,11
timesat_double_logistic,0.20000000000000001,primary_controlled_random_deletion,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.25808262281384114,0.2262841687712133,0.29137170494846915,7,7,700,0,700,0,22,45,0.098654708520179199,0.15537848605577681,15,72,5,11
timesat_double_logistic,0.20000000000000001,primary_controlled_random_deletion,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.57857142857142851,0.18285714285714286,0.86428571428571443,7,7,700,0,700,0,22,45,0.098654708520179199,0.15537848605577681,15,72,5,11
