year,method_a,method_b,metric,metric_label,unit,favorable_direction,method_a_value,method_b_value,raw_difference_a_minus_b,advantage_for_method_a
2019,linear_interpolation,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,7.5084680958257044,7.7744444400484243,-0.26597634422271987,0.26597634422271987
2020,linear_interpolation,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,3.0314414740322202,5.3571924568595879,-2.3257509828273677,2.3257509828273677
2021,linear_interpolation,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,2.0445830875213504,4.6601235158438969,-2.6155404283225465,2.6155404283225465
2022,linear_interpolation,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,4.6350671027018713,5.6287582150949822,-0.99369111239311092,0.99369111239311092
2023,linear_interpolation,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,1.8347420987909149,1.9006932417065727,-0.065951142915657845,0.065951142915657845
2024,linear_interpolation,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,3.4494627554158876,3.6821108707119303,-0.23264811529604268,0.23264811529604268
2025,linear_interpolation,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,7.9678487741828974,8.3136740105172517,-0.34582523633435436,0.34582523633435436
2019,linear_interpolation,timesat_smoothing_spline,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,379.29943400000002,363.45422468674087,15.845209313259147,-15.845209313259147
2020,linear_interpolation,timesat_smoothing_spline,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,110.75313074999964,132.23792701935554,-21.484796269355897,21.484796269355897
2021,linear_interpolation,timesat_smoothing_spline,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,86.268280000000004,135.82623523171517,-49.557955231715169,49.557955231715169
2022,linear_interpolation,timesat_smoothing_spline,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,159.94292500000029,177.40676447727219,-17.463839477271904,17.463839477271904
2023,linear_interpolation,timesat_smoothing_spline,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,102.4164679999999,147.21321584831412,-44.796747848314226,44.796747848314226
2024,linear_interpolation,timesat_smoothing_spline,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,30.246232999999847,95.509797011676241,-65.263564011676394,65.263564011676394
2025,linear_interpolation,timesat_smoothing_spline,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,233.29240400000023,257.87106221327213,-24.578658213271893,24.578658213271893
2019,linear_interpolation,timesat_smoothing_spline,absolute_peak_date_error_days,absolute global-peak date error,days,lower,1,9,-8,8
2020,linear_interpolation,timesat_smoothing_spline,absolute_peak_date_error_days,absolute global-peak date error,days,lower,31,151,-120,120
2021,linear_interpolation,timesat_smoothing_spline,absolute_peak_date_error_days,absolute global-peak date error,days,lower,0,3,-3,3
2022,linear_interpolation,timesat_smoothing_spline,absolute_peak_date_error_days,absolute global-peak date error,days,lower,6,13,-7,7
2023,linear_interpolation,timesat_smoothing_spline,absolute_peak_date_error_days,absolute global-peak date error,days,lower,0,1,-1,1
2024,linear_interpolation,timesat_smoothing_spline,absolute_peak_date_error_days,absolute global-peak date error,days,lower,4,3,1,-1
2025,linear_interpolation,timesat_smoothing_spline,absolute_peak_date_error_days,absolute global-peak date error,days,lower,200,202,-2,2
2019,linear_interpolation,timesat_smoothing_spline,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,31.658100000000001,32.719671881103515,-1.0615718811035144,1.0615718811035144
2020,linear_interpolation,timesat_smoothing_spline,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,3.7783000000000015,20.666390203857425,-16.888090203857423,16.888090203857423
2021,linear_interpolation,timesat_smoothing_spline,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,0,8.6710793334960954,-8.6710793334960954,8.6710793334960954
2022,linear_interpolation,timesat_smoothing_spline,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,39.341999999999999,40.272992102050779,-0.93099210205078009,0.93099210205078009
2023,linear_interpolation,timesat_smoothing_spline,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,0,1.450430407714844,-1.450430407714844,1.450430407714844
2024,linear_interpolation,timesat_smoothing_spline,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,8.5762999999999963,12.089093176269529,-3.5127931762695326,3.5127931762695326
2025,linear_interpolation,timesat_smoothing_spline,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,42.770600000000002,44.388208807373047,-1.6176088073730455,1.6176088073730455
2019,linear_interpolation,timesat_smoothing_spline,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.20280464550200611,0.1943324945583782,0.0084721509436279097,-0.0084721509436279097
2020,linear_interpolation,timesat_smoothing_spline,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.057769259105439799,0.068975811499102202,-0.011206552393662403,0.011206552393662403
2021,linear_interpolation,timesat_smoothing_spline,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.058687991020176002,0.092402084214304597,-0.033714093194128596,0.033714093194128596
2022,linear_interpolation,timesat_smoothing_spline,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.1139775453377054,0.12642251941699759,-0.012444974079292181,0.012444974079292181
2023,linear_interpolation,timesat_smoothing_spline,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.096517160542628794,0.1387335637080202,-0.042216403165391408,0.042216403165391408
2024,linear_interpolation,timesat_smoothing_spline,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.022110178605547301,0.069818237216771703,-0.047708058611224402,0.047708058611224402
2025,linear_interpolation,timesat_smoothing_spline,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.0927123719474129,0.1024801383348569,-0.0097677663874440046,0.0097677663874440046
2019,linear_interpolation,timesat_smoothing_spline,mae,point-wise MAE,ug_L,lower,3.2234391125793964,3.2463872895323633,-0.022948176952966914,0.022948176952966914
2020,linear_interpolation,timesat_smoothing_spline,mae,point-wise MAE,ug_L,lower,1.5241441110177272,2.0997396860734883,-0.57559557505576109,0.57559557505576109
2021,linear_interpolation,timesat_smoothing_spline,mae,point-wise MAE,ug_L,lower,1.0943388259749554,1.7586305845546495,-0.66429175857969414,0.66429175857969414
2022,linear_interpolation,timesat_smoothing_spline,mae,point-wise MAE,ug_L,lower,1.5119059852833443,1.6052803355981826,-0.093374350314838317,0.093374350314838317
2023,linear_interpolation,timesat_smoothing_spline,mae,point-wise MAE,ug_L,lower,1.1504836782057779,1.3890923326526368,-0.23860865444685886,0.23860865444685886
2024,linear_interpolation,timesat_smoothing_spline,mae,point-wise MAE,ug_L,lower,1.9195744852429533,2.1029770194989865,-0.18340253425603326,0.18340253425603326
2025,linear_interpolation,timesat_smoothing_spline,mae,point-wise MAE,ug_L,lower,3.8853107354517409,3.9811332024046422,-0.095822466952901308,0.095822466952901308
