method,duration_days,activity_class,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_in_stratum,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total,n_metric_available_total,n_metric_unavailable_total,a_gap_observed_minimum,a_gap_observed_maximum,window_midpoint_relative_position_observed_minimum,window_midpoint_relative_position_observed_maximum,observations_removed_observed_minimum,observations_removed_observed_maximum,resulting_maximum_internal_gap_days_observed_minimum,resulting_maximum_internal_gap_days_observed_maximum
linear_interpolation,20,low,protocol_visualization_stratum_continuous_a_gap_primary,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,159.08360529545146,88.782637135726972,242.11220931636061,7,7,509,0,509,0,0.025285744316099298,0.4095269539930948,0.045258620689655103,0.95961538461538465,1,7,22,60
linear_interpolation,20,low,protocol_visualization_stratum_continuous_a_gap_primary,absolute_peak_date_error_days,absolute global-peak date error,days,lower,34.571428571428569,1.5714285714285714,91.571428571428569,7,7,509,0,509,0,0.025285744316099298,0.4095269539930948,0.045258620689655103,0.95961538461538465,1,7,22,60
linear_interpolation,20,low,protocol_visualization_stratum_continuous_a_gap_primary,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.093817244139232328,0.057363217531373467,0.13455882342399123,7,7,509,0,509,0,0.025285744316099298,0.4095269539930948,0.045258620689655103,0.95961538461538465,1,7,22,60
linear_interpolation,20,low,protocol_visualization_stratum_continuous_a_gap_primary,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.79732510969717996,0.25503107772975925,1.4366431486978826,7,7,509,0,509,0,0.025285744316099298,0.4095269539930948,0.045258620689655103,0.95961538461538465,1,7,22,60
linear_interpolation,20,low,protocol_visualization_stratum_continuous_a_gap_primary,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.20345817930229299,0.15357883999820854,0.24775951308508928,7,7,509,0,509,0,0.025285744316099298,0.4095269539930948,0.045258620689655103,0.95961538461538465,1,7,22,60
linear_interpolation,20,low,protocol_visualization_stratum_continuous_a_gap_primary,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.7142857142857143,0.42857142857142855,1,7,7,509,0,509,0,0.025285744316099298,0.4095269539930948,0.045258620689655103,0.95961538461538465,1,7,22,60
linear_interpolation,20,low,protocol_visualization_stratum_continuous_a_gap_primary,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.7142857142857143,0.42857142857142855,1,7,7,509,0,509,0,0.025285744316099298,0.4095269539930948,0.045258620689655103,0.95961538461538465,1,7,22,60
linear_interpolation,20,low,protocol_visualization_stratum_continuous_a_gap_primary,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.5714285714285714,0.14285714285714285,0.8571428571428571,7,7,509,0,509,0,0.025285744316099298,0.4095269539930948,0.045258620689655103,0.95961538461538465,1,7,22,60
linear_interpolation,20,low,protocol_visualization_stratum_continuous_a_gap_primary,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.86202501333268233,0.81565697541074322,0.90942493021298998,7,7,509,0,509,0,0.025285744316099298,0.4095269539930948,0.045258620689655103,0.95961538461538465,1,7,22,60
linear_interpolation,20,low,protocol_visualization_stratum_continuous_a_gap_primary,rmse,point-wise RMSE,ug_L,lower,4.3417886133693937,2.7678507315321794,6.0953238825021305,7,7,509,0,509,0,0.025285744316099298,0.4095269539930948,0.045258620689655103,0.95961538461538465,1,7,22,60
linear_interpolation,20,medium,protocol_visualization_stratum_continuous_a_gap_primary,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,171.60773105642124,99.774350671281013,253.69133530603025,7,7,508,0,508,0,0.41040908375994273,1.5305573773522372,0.044680851063829602,0.95799999999999996,1,7,22,85
linear_interpolation,20,medium,protocol_visualization_stratum_continuous_a_gap_primary,absolute_peak_date_error_days,absolute global-peak date error,days,lower,34.571428571428569,1.5714285714285714,91.571428571428569,7,7,508,0,508,0,0.41040908375994273,1.5305573773522372,0.044680851063829602,0.95799999999999996,1,7,22,85
linear_interpolation,20,medium,protocol_visualization_stratum_continuous_a_gap_primary,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.099742274440186421,0.066672275492642832,0.13779234715663,7,7,508,0,508,0,0.41040908375994273,1.5305573773522372,0.044680851063829602,0.95799999999999996,1,7,22,85
linear_interpolation,20,medium,protocol_visualization_stratum_continuous_a_gap_primary,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.79732510969717996,0.23342993254786146,1.4405751413566124,7,7,508,0,508,0,0.41040908375994273,1.5305573773522372,0.044680851063829602,0.95799999999999996,1,7,22,85
linear_interpolation,20,medium,protocol_visualization_stratum_continuous_a_gap_primary,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.2127282038074744,0.16940112069633145,0.25481468691384479,7,7,508,0,508,0,0.41040908375994273,1.5305573773522372,0.044680851063829602,0.95799999999999996,1,7,22,85
